painting_id,source,filename,painter_name,painting_name,year,style,image_path
14,armenian_local,st-petersburg-the-ferry-across-the-river-1870.jpg!PinterestSmall.jpg,Ivan Aivazovsky,St. Petersburg. The ferry across the river,1870,,data/datasets/armenian/images/st-petersburg-the-ferry-across-the-river-1870.jpg!PinterestSmall.jpg
15,armenian_local,caravan-in-the-oasis-egypt-1871.jpg!PinterestSmall.jpg,Ivan Aivazovsky,Caravan in the oasis. Egypt,1871,,data/datasets/armenian/images/caravan-in-the-oasis-egypt-1871.jpg!PinterestSmall.jpg
16,armenian_local,pushkin-s-farewell-to-the-black-sea-1877.jpg!PinterestSmall.jpg,Ivan Aivazovsky,Pushkin's farewell to the Black Sea,1877,,data/datasets/armenian/images/pushkin-s-farewell-to-the-black-sea-1877.jpg!PinterestSmall.jpg
17,armenian_local,self-portrait-1909-1.jpg!PinterestSmall.jpg,Martiros Sarian,Self-portrait,1909,,data/datasets/armenian/images/self-portrait-1909-1.jpg!PinterestSmall.jpg
18,armenian_local,persian-woman-1910.jpg!PinterestSmall.jpg,Martiros Sarian,Persian woman,1910,,data/datasets/armenian/images/persian-woman-1910.jpg!PinterestSmall.jpg
19,armenian_local,portrait-of-the-poet-yeghishe-charents-1923.jpg!PinterestSmall.jpg,Martiros Sarian,Portrait of the poet Yeghishe Charents,1923,,data/datasets/armenian/images/portrait-of-the-poet-yeghishe-charents-1923.jpg!PinterestSmall.jpg
20,armenian_local,may-roses-1939.jpg!PinterestSmall.jpg,Martiros Sarian,May roses,1939,,data/datasets/armenian/images/may-roses-1939.jpg!PinterestSmall.jpg
21,armenian_local,apricot-tree-in-blossom-1942.jpg!PinterestSmall.jpg,Martiros Sarian,Apricot tree in blossom,1942,,data/datasets/armenian/images/apricot-tree-in-blossom-1942.jpg!PinterestSmall.jpg
22,armenian_local,wild-poppies-1945.jpg!PinterestSmall.jpg,Martiros Sarian,Wild poppies,1945,,data/datasets/armenian/images/wild-poppies-1945.jpg!PinterestSmall.jpg
23,armenian_local,dvin-excavations-1952.jpg!PinterestSmall.jpg,Martiros Sarian,Dvin excavations,1952,,data/datasets/armenian/images/dvin-excavations-1952.jpg!PinterestSmall.jpg
24,armenian_local,still-life-1953.jpg!PinterestSmall.jpg,Martiros Sarian,Still life,1953,,data/datasets/armenian/images/still-life-1953.jpg!PinterestSmall.jpg
25,armenian_local,sevan-lake-1953.jpg!PinterestSmall.jpg,Martiros Sarian,Sevan Lake,1953,,data/datasets/armenian/images/sevan-lake-1953.jpg!PinterestSmall.jpg
26,armenian_local,church-karmravor-of-vii-century-1956.jpg!PinterestSmall.jpg,Martiros Sarian,Church Karmravor of vii century,1956,,data/datasets/armenian/images/church-karmravor-of-vii-century-1956.jpg!PinterestSmall.jpg
27,armenian_local,village-ashnak-1957.jpg!PinterestSmall.jpg,Martiros Sarian,Village Ashnak,1957,,data/datasets/armenian/images/village-ashnak-1957.jpg!PinterestSmall.jpg
28,armenian_local,ararat-and-arch-charents-1958.jpg!PinterestSmall.jpg,Martiros Sarian,Ararat and arch Charents,1958,,data/datasets/armenian/images/ararat-and-arch-charents-1958.jpg!PinterestSmall.jpg
29,armenian_local,flowers-in-the-workshop-1958.jpg!PinterestSmall.jpg,Martiros Sarian,Flowers in the workshop,1958,,data/datasets/armenian/images/flowers-in-the-workshop-1958.jpg!PinterestSmall.jpg
30,armenian_local,portrait-of-catholicos-of-all-armenians-vazgen-i-1959.jpg!PinterestSmall.jpg,Martiros Sarian,Portrait of Catholicos of All Armenians Vazgen I ,1959,,data/datasets/armenian/images/portrait-of-catholicos-of-all-armenians-vazgen-i-1959.jpg!PinterestSmall.jpg
31,armenian_local,portrait-of-mathematics-artashes-shahinyan-1960.jpg!PinterestSmall.jpg,Martiros Sarian,Portrait of mathematics Artashes Shahinyan,1960,,data/datasets/armenian/images/portrait-of-mathematics-artashes-shahinyan-1960.jpg!PinterestSmall.jpg
32,armenian_local,landscape-shirak-1962.jpg!PinterestSmall.jpg,Martiros Sarian,Landscape Shirak,1962,,data/datasets/armenian/images/landscape-shirak-1962.jpg!PinterestSmall.jpg
33,armenian_local,portrait-of-katarine-saryan-1963.jpg!PinterestSmall.jpg,Martiros Sarian,Portrait of Katarine Ssaryan,1963,,data/datasets/armenian/images/portrait-of-katarine-saryan-1963.jpg!PinterestSmall.jpg
34,armenian_local,"minas-avetisyan-houses-in-a-rural-landscape,-jajur,-armenia.jpg",Minas Avetisyan,"Houses in a rural landscape, Jajur, Armenia",1960–1970,,"data/datasets/armenian/images/minas-avetisyan-houses-in-a-rural-landscape,-jajur,-armenia.jpg"
35,armenian_local,minas-avetisyan-beating-butter.jpg,Minas Avetisyan,Beating butter,1972,,data/datasets/armenian/images/minas-avetisyan-beating-butter.jpg
36,armenian_local,minas-avetisyan-baking-bread.jpg,Minas Avetisyan,Baking bread,1972,,data/datasets/armenian/images/minas-avetisyan-baking-bread.jpg
37,armenian_local,"minas-avetisyan-red-wine,-1962.jpg",Minas Avetisyan,Red wine,1962,,"data/datasets/armenian/images/minas-avetisyan-red-wine,-1962.jpg"
38,armenian_local,mother-s-portrait-1964.jpg!PinterestSmall.jpg,Minas Avetisyan,Mother's portrait,1964,,data/datasets/armenian/images/mother-s-portrait-1964.jpg!PinterestSmall.jpg
39,armenian_local,40441-b.jpg!PinterestSmall.jpg,Minas Avetisyan,Philosopher,1960,,data/datasets/armenian/images/40441-b.jpg!PinterestSmall.jpg
40,armenian_local,89670-b.jpg!PinterestSmall.jpg,Minas Avetisyan,Memory,1973,,data/datasets/armenian/images/89670-b.jpg!PinterestSmall.jpg
41,armenian_local,40216-b.jpg!PinterestSmall.jpg,Minas Avetisyan,Master Gevorg,1967-1970,,data/datasets/armenian/images/40216-b.jpg!PinterestSmall.jpg
42,armenian_local,meditation-my-family-1973.jpg!PinterestSmall.jpg,Minas Avetisyan,Meditation. My Family,1973,,data/datasets/armenian/images/meditation-my-family-1973.jpg!PinterestSmall.jpg
43,armenian_local,40312-b.jpg!PinterestSmall.jpg,Minas Avetisyan,The resting one,1973,,data/datasets/armenian/images/40312-b.jpg!PinterestSmall.jpg
44,armenian_local,21469-b.jpg!PinterestSmall.jpg,Minas Avetisyan,Valya,Unkown,,data/datasets/armenian/images/21469-b.jpg!PinterestSmall.jpg
45,armenian_local,21458-b.jpg!PinterestSmall.jpg,Minas Avetisyan,Still-life with grapes,Unkown,,data/datasets/armenian/images/21458-b.jpg!PinterestSmall.jpg
46,armenian_local,60562a87edc2c958901b8136.jpg!PinterestSmall.jpg,Minas Avetisyan,Waiting,Unkown,,data/datasets/armenian/images/60562a87edc2c958901b8136.jpg!PinterestSmall.jpg
47,armenian_local,60562946edc2c9589010c29d.jpg!PinterestSmall.jpg,Minas Avetisyan,Crucufication,Unkown,,data/datasets/armenian/images/60562946edc2c9589010c29d.jpg!PinterestSmall.jpg
48,armenian_local,minas-avetisyan-parenthood.jpg,Minas Avetisyan,Parenthood,1964,,data/datasets/armenian/images/minas-avetisyan-parenthood.jpg
49,armenian_local,minas-avetisyan-portrait-of-a-girl.jpg,Minas Avetisyan,Portrait of a girl,1963,,data/datasets/armenian/images/minas-avetisyan-portrait-of-a-girl.jpg
50,armenian_local,minas-avetisyan-three-figures.jpg,Minas Avetisyan,Three figures,Unkown,,data/datasets/armenian/images/minas-avetisyan-three-figures.jpg
51,armenian_local,untitled-self-portrait.jpg!PinterestSmall.jpg,Arshile Gorky,Untitled (Self-Portrait),1928-1929,,data/datasets/armenian/images/untitled-self-portrait.jpg!PinterestSmall.jpg
52,armenian_local,nighttime-enigma-and-nostalgia.jpg!PinterestSmall.jpg,Arshile Gorky,Nighttime Enigma and Nostalgia,1931-1932,,data/datasets/armenian/images/nighttime-enigma-and-nostalgia.jpg!PinterestSmall.jpg
53,armenian_local,the-artist-with-his-mother-1936.jpg!PinterestSmall.jpg,Arshile Gorky,The Artist and His Mother,1926-1936,,data/datasets/armenian/images/the-artist-with-his-mother-1936.jpg!PinterestSmall.jpg
54,armenian_local,5ea96fffedc2c90aa860665c.png!PinterestSmall.png.jpeg,Arshile Gorky,Portrait of Vartoosh,1936-1937,,data/datasets/armenian/images/5ea96fffedc2c90aa860665c.png!PinterestSmall.png.jpeg
55,armenian_local,park-street-church.jpg!PinterestSmall.jpg,Arshile Gorky,Park Street Church,1924,,data/datasets/armenian/images/park-street-church.jpg!PinterestSmall.jpg
56,armenian_local,bound-in-sleep.jpg!PinterestSmall.jpg,Arshile Gorky,Bound in Sleep,1925,,data/datasets/armenian/images/bound-in-sleep.jpg!PinterestSmall.jpg
57,armenian_local,the-barber-composition-no-5.jpg!PinterestSmall.jpg,Arshile Gorky,The Barber (Composition No.5),1933,,data/datasets/armenian/images/the-barber-composition-no-5.jpg!PinterestSmall.jpg
58,armenian_local,the-artists-s-mother.jpg!PinterestSmall.jpg,Arshile Gorky,The Artists's Mother,1936,,data/datasets/armenian/images/the-artists-s-mother.jpg!PinterestSmall.jpg
59,armenian_local,hitler-invades-poland.jpg!PinterestSmall.jpg,Arshile Gorky,Hitler Invades Poland,1939,,data/datasets/armenian/images/hitler-invades-poland.jpg!PinterestSmall.jpg
60,armenian_local,portrait-of-azadoohi-liberty-miller.jpg!PinterestSmall.jpg,Arshile Gorky,Portrait of Azadoohi (Liberty Miller),1926,,data/datasets/armenian/images/portrait-of-azadoohi-liberty-miller.jpg!PinterestSmall.jpg
61,armenian_local,staten-island.jpg!PinterestSmall.jpg,Arshile Gorky,Staten Island,1927,,data/datasets/armenian/images/staten-island.jpg!PinterestSmall.jpg
62,armenian_local,pears-peaches-and-pitcher-1927.jpg!PinterestSmall.jpg,Arshile Gorky,Pears Peaches and Pitcher,1926-1927,,data/datasets/armenian/images/pears-peaches-and-pitcher-1927.jpg!PinterestSmall.jpg
63,armenian_local,still-life-with-skull.jpg!PinterestSmall.jpg,Arshile Gorky,Still Life with Skull,1927,,data/datasets/armenian/images/still-life-with-skull.jpg!PinterestSmall.jpg
64,armenian_local,portrait-of-a-woman.jpg!PinterestSmall.jpg,Arshile Gorky,Portrait of a woman,1928,,data/datasets/armenian/images/portrait-of-a-woman.jpg!PinterestSmall.jpg
65,armenian_local,self-portrait-at-the-age-of-nine.jpg!PinterestSmall.jpg,Arshile Gorky,Self-portrait at the age of nine,1928,,data/datasets/armenian/images/self-portrait-at-the-age-of-nine.jpg!PinterestSmall.jpg
67,armenian_local,469d48130b1460723c524bf8f7f24bff.jpg!PinterestSmall.jpg,Arshile Gorky,Aviation: Evolution of Forms under Aerodynamic Limitations,1937,,data/datasets/armenian/images/469d48130b1460723c524bf8f7f24bff.jpg!PinterestSmall.jpg
68,armenian_local,afternoon-sun-1919.jpg,Gevorg Bashinjaghian,"Afternoon sun, 1919",1919,,data/datasets/armenian/images/afternoon-sun-1919.jpg
69,armenian_local,aurora-at-the-edge-of-a-river.jpg,Gevorg Bashinjaghian,Aurora at the edge of a river,1883,,data/datasets/armenian/images/aurora-at-the-edge-of-a-river.jpg
70,armenian_local,cornfield-in-an-open-armenian.jpg,Gevorg Bashinjaghian,Cornfield in an open Armenian,1921,,data/datasets/armenian/images/cornfield-in-an-open-armenian.jpg
71,armenian_local,fall-landscape-with-figure-19.jpg,Gevorg Bashinjaghian,Fall Landscape with Figure,1900,,data/datasets/armenian/images/fall-landscape-with-figure-19.jpg
72,armenian_local,farmyard-scene.jpg,Gevorg Bashinjaghian,Farmyard Scene,,,data/datasets/armenian/images/farmyard-scene.jpg
73,armenian_local,house-on-the-lake-1923.jpg,Gevorg Bashinjaghian,House on the Lake,1923,,data/datasets/armenian/images/house-on-the-lake-1923.jpg
74,armenian_local,lake-sevan-by-night-1910.jpg,Gevorg Bashinjaghian,Lake Sevan by Night,1910,,data/datasets/armenian/images/lake-sevan-by-night-1910.jpg
75,armenian_local,leo-tolstoy-in-a-bright-field.jpg,Gevorg Bashinjaghian,Leo Tolstoy in a Bright Field,,,data/datasets/armenian/images/leo-tolstoy-in-a-bright-field.jpg
76,armenian_local,moonlit-river-bank-1896.jpg,Gevorg Bashinjaghian,Moonlit river bank,1896,,data/datasets/armenian/images/moonlit-river-bank-1896.jpg
77,armenian_local,mountain-landscape-with-horses.jpg,Gevorg Bashinjaghian,Mountain Landscape with Horses,1916,,data/datasets/armenian/images/mountain-landscape-with-horses.jpg
78,armenian_local,night-in-manglisi-1924.jpg,Gevorg Bashinjaghian,Night in Manglisi,1924,,data/datasets/armenian/images/night-in-manglisi-1924.jpg
79,armenian_local,our-lady-cathedral-of-ani-190.jpg,Gevorg Bashinjaghian,Our Lady Cathedral of Ani,1900,,data/datasets/armenian/images/our-lady-cathedral-of-ani-190.jpg
80,armenian_local,walk-in-the-countryside-1917_Nam4CED.jpg,Gevorg Bashinjaghian,Walk in the Countryside,1917,,data/datasets/armenian/images/walk-in-the-countryside-1917_Nam4CED.jpg
81,armenian_local,view-of-mount-ararat-1921.jpg,Gevorg Bashinjaghian,View of Mount Ararat,1921,,data/datasets/armenian/images/view-of-mount-ararat-1921.jpg
82,armenian_local,the-road-to-ararat-1897.jpg,Gevorg Bashinjaghian,The road to Ararat,1897,,data/datasets/armenian/images/the-road-to-ararat-1897.jpg
83,armenian_local,still-life-painting-1916.jpg,Gevorg Bashinjaghian,Still-life painting,1916,,data/datasets/armenian/images/still-life-painting-1916.jpg
84,armenian_local,sevan-1911.jpg,Gevorg Bashinjaghian,Sevan,1911,,data/datasets/armenian/images/sevan-1911.jpg
85,armenian_local,at_hrazdan_bridge_1923_gabriel_gyurjian.JPG,Gabriel Gyurjian,At Hrazdan Bridge,1923,,data/datasets/armenian/images/at_hrazdan_bridge_1923_gabriel_gyurjian.JPG
86,armenian_local,rocks_of_sevan_1926_gabriel_gyurjian.JPG,Gabriel Gyurjian,Rocks of Sevan,1926,,data/datasets/armenian/images/rocks_of_sevan_1926_gabriel_gyurjian.JPG
87,armenian_local,"tsaghkadzor_landscape,1925_gabriel_gyurjian.JPG",Gabriel Gyurjian,Tsaghkadzor Landscape,1925,,"data/datasets/armenian/images/tsaghkadzor_landscape,1925_gabriel_gyurjian.JPG"
88,armenian_local,thepoetvahan_tekeyan_yervand_kochar.JPG,Yervand Kochar,The Poet Vahan Tekeyan,,,data/datasets/armenian/images/thepoetvahan_tekeyan_yervand_kochar.JPG
89,armenian_local,still_life.horses_people_1930_yervand_kochar.JPG,Yervand Kochar,Still Life Horses People,1930,,data/datasets/armenian/images/still_life.horses_people_1930_yervand_kochar.JPG
90,armenian_local,"family.generations,1925_yervand_kochar.JPG",Yervand Kochar,Family Generations,1925,,"data/datasets/armenian/images/family.generations,1925_yervand_kochar.JPG"
91,armenian_local,the_execution_of_the_communists_in_tatev_1930_hakob_kojoyan.JPG,Hakob Kojoyan,The Execution of the Communists in Tatev,1930,,data/datasets/armenian/images/the_execution_of_the_communists_in_tatev_1930_hakob_kojoyan.JPG
92,armenian_local,"de_profundis,from_the_bottom_of_heart_1919_yervand_kochar.JPG",Yervand Kochar,"De Profundis, from the bottom of heart",1919,,"data/datasets/armenian/images/de_profundis,from_the_bottom_of_heart_1919_yervand_kochar.JPG"
93,armenian_local,portrait_of_artist_levon_aslamazian_1919_yervand_kochar.JPG,Yervand Kochar,Portrait of artist Levon Aslamazian,1919,,data/datasets/armenian/images/portrait_of_artist_levon_aslamazian_1919_yervand_kochar.JPG
94,armenian_local,woman_with_a_glass_1920_yervand_kochar.JPG,Yervand Kochar,Woman With a Glass,1920,,data/datasets/armenian/images/woman_with_a_glass_1920_yervand_kochar.JPG
95,armenian_local,street_in_tabriz_1922_hakob_kojoyan.JPG,Hakob Kojoyan,Street in Tabriz,1922,,data/datasets/armenian/images/street_in_tabriz_1922_hakob_kojoyan.JPG
96,armenian_local,dining-hall_in_tabriz_1922_hakob_kojoyan.JPG,Hakob Kojoyan,Dining hall in Tabriz,1922,,data/datasets/armenian/images/dining-hall_in_tabriz_1922_hakob_kojoyan.JPG
97,armenian_local,before_the_mirror_1928_georgy_yakulov.JPG,Georgy Yakulov,Before the Mirror,1928,,data/datasets/armenian/images/before_the_mirror_1928_georgy_yakulov.JPG
98,armenian_local,negro.decorative_panel_georgy_yakulov.JPG,Georgy Yakulov,Negro. Decorative panel,,,data/datasets/armenian/images/negro.decorative_panel_georgy_yakulov.JPG
99,armenian_local,"Poster_of_cafe_""pittoresque"",1917_georgy_yakulov.JPG",Georgy Yakulov,"Poster of café ""Pittoresque""",1917,,"data/datasets/armenian/images/Poster_of_cafe_""pittoresque"",1917_georgy_yakulov.JPG"
100,armenian_local,landscape_georgy_yakulov.JPG,Georgy Yakulov,Landscape,,,data/datasets/armenian/images/landscape_georgy_yakulov.JPG
101,armenian_local,portrait_of_panna_paskevich_georgy_yakulov.JPG,Georgy Yakulov,Portrait of Panna Paskevich,,,data/datasets/armenian/images/portrait_of_panna_paskevich_georgy_yakulov.JPG
102,armenian_local,monte_carlo_1913_georgy_yakulov.JPG,Georgy Yakulov,Monte Carlo,1913,,data/datasets/armenian/images/monte_carlo_1913_georgy_yakulov.JPG
103,armenian_local,churn_minas_avetisyan.JPG,Minas Avetisyan,Churn,,,data/datasets/armenian/images/churn_minas_avetisyan.JPG
104,armenian_local,woman_with_tray_ruben_shanverdyan.JPG,Ruben Shanverdyan,Woman with Tray,,,data/datasets/armenian/images/woman_with_tray_ruben_shanverdyan.JPG
105,armenian_local,horses_1968_alexander_grigoryan.JPG,Alexander Grigoryan,Horses,1968,,data/datasets/armenian/images/horses_1968_alexander_grigoryan.JPG
106,armenian_local,pastoral_clarinettist_1953_marcos_grigorian.JPG,Marcos Grigorian,Pastoral Clarinettist,1953,,data/datasets/armenian/images/pastoral_clarinettist_1953_marcos_grigorian.JPG
107,armenian_local,still_life_1960_minas_avetisyan.JPG,Minas Avetisyan,Still Life,1960,,data/datasets/armenian/images/still_life_1960_minas_avetisyan.JPG
108,armenian_local,still_life_watermelon_1960_minas_avetisyan.JPG,Minas Avetisyan,Still life Watermelon,1960,,data/datasets/armenian/images/still_life_watermelon_1960_minas_avetisyan.JPG
109,armenian_local,at_the_choreographic_school_dancers_1967_robert_elibekyan.JPG,Robert Elibekyan,At the Choreographic School Dancers,1967,,data/datasets/armenian/images/at_the_choreographic_school_dancers_1967_robert_elibekyan.JPG
110,armenian_local,singers_1969_hrachya_hakobyan.JPG,Hrachya Hakobyan,Singers,1969,,data/datasets/armenian/images/singers_1969_hrachya_hakobyan.JPG
111,armenian_local,hanging_sujukh_1964_hovsep_karalian.JPG,Hovsep Karalian,Hanging Sujukh,1964,,data/datasets/armenian/images/hanging_sujukh_1964_hovsep_karalian.JPG
112,armenian_local,self-portrait_1970_varditer_karapetyan.JPG,Varditer Karapetyan,Self Portrait,1970,,data/datasets/armenian/images/self-portrait_1970_varditer_karapetyan.JPG
113,armenian_local,servants'_ladder_shushan_egoyan.JPG,Shushan Egoyan,Servants' Ladder,,,data/datasets/armenian/images/servants'_ladder_shushan_egoyan.JPG
114,armenian_local,going_to_study_1953_anatoly_papyan.JPG,Anatoly Papyan,Going to study,1953,,data/datasets/armenian/images/going_to_study_1953_anatoly_papyan.JPG
115,armenian_local,mariam_1939_nikolay_tevosyan.JPG,Nikolay Tevosyan,Mariam,1939,,data/datasets/armenian/images/mariam_1939_nikolay_tevosyan.JPG
116,armenian_local,head_of_a_woman_1944_nikolay_tevosyan.JPG,Nikolay Tevosyan,Head of a woman,1944,,data/datasets/armenian/images/head_of_a_woman_1944_nikolay_tevosyan.JPG
117,armenian_local,still_life_with_a_yellow_pitcher_1946_grigor_mkrtichian.JPG,Grigor Mkrtichian,Still life with a yellow pitcher,1946,,data/datasets/armenian/images/still_life_with_a_yellow_pitcher_1946_grigor_mkrtichian.JPG
118,armenian_local,spandaryan_street_1941_sedrak_rashmajyan.JPG,Sedrak Rashmajyan,Spandaryan street,1941,,data/datasets/armenian/images/spandaryan_street_1941_sedrak_rashmajyan.JPG
119,armenian_local,still_life_pears_and_peaches_1943_mariam_aslamazyan.JPG,Mariam Aslamazyan,Still life pears and peaches,1943,,data/datasets/armenian/images/still_life_pears_and_peaches_1943_mariam_aslamazyan.JPG
120,armenian_local,half-naked_women_arpenik_nalbandyan.JPG,Arpenik Nalbandyan,Half naked women,,,data/datasets/armenian/images/half-naked_women_arpenik_nalbandyan.JPG
121,armenian_local,girl_with_a_basket_1942_arpenik_nalbandyan.JPG,Arpenik Nalbandyan,Girl with a basket,1942,,data/datasets/armenian/images/girl_with_a_basket_1942_arpenik_nalbandyan.JPG
122,armenian_local,yerevan_still_life_mher_abeghyan.JPG,Mher Abeghyan,Yerevan still life,,,data/datasets/armenian/images/yerevan_still_life_mher_abeghyan.JPG
123,armenian_local,carpet_weaver_hrachuhi_sedrak_rashmajyan.JPG,Sedrak Rashmajyan,Carpet weaver Hrachuhi,,,data/datasets/armenian/images/carpet_weaver_hrachuhi_sedrak_rashmajyan.JPG
124,armenian_local,watchman_sedrak_rashmajyan.JPG,Sedrak Rashmajyan,Watchman,,,data/datasets/armenian/images/watchman_sedrak_rashmajyan.JPG
125,armenian_local,self-portrait_koryun_simonyan.JPG,Koryun Simonyan,Self portrait ,,,data/datasets/armenian/images/self-portrait_koryun_simonyan.JPG
126,armenian_local,Exodus_of_armenians_hrant_stepanyan.JPG,Hrant Stepanyan,Exodus of Armenians,,,data/datasets/armenian/images/Exodus_of_armenians_hrant_stepanyan.JPG
127,armenian_local,district_in_bucharest_bardugh_vardanyan.JPG,Bardugh Vardanyan,District in Bucharest,,,data/datasets/armenian/images/district_in_bucharest_bardugh_vardanyan.JPG
128,armenian_local,shoemaker_bartugh_vardanyan.JPG,Bardugh Vardanyan,Shoemaker,,,data/datasets/armenian/images/shoemaker_bartugh_vardanyan.JPG
129,armenian_local,workers_district.paris_1951_artavazd_berberian.JPG,Artavazd Berberian,Workers District. Paris,,,data/datasets/armenian/images/workers_district.paris_1951_artavazd_berberian.JPG
130,armenian_local,portrait_of_a_kurd_1954_eduard_isabekyan.JPG,Eduard Isabekyan,Portrait of a kurd,1954,,data/datasets/armenian/images/portrait_of_a_kurd_1954_eduard_isabekyan.JPG
131,armenian_local,khachatur_abovyan_in_the_heights_of_mount_ararat_1950_eduard_isabekyan.JPG,Eduard Isabekyan,Khachatur Abovyan in the heights of mount Ararat,1950,,data/datasets/armenian/images/khachatur_abovyan_in_the_heights_of_mount_ararat_1950_eduard_isabekyan.JPG
132,armenian_local,zoya(tanya)_eduard_isabekyan.JPG,Eduard Isabekyan,Zoya(Tanya),,,data/datasets/armenian/images/zoya(tanya)_eduard_isabekyan.JPG
133,armenian_local,anahit_1956_grigor_khanjyan.JPG,Grigor Khanjyan,Anahit,1956,,data/datasets/armenian/images/anahit_1956_grigor_khanjyan.JPG
134,armenian_local,aspiration_1960_hovhannes_zardaryan.JPG,Hovhannes Zardaryan,Aspiration,1960,,data/datasets/armenian/images/aspiration_1960_hovhannes_zardaryan.JPG
135,armenian_local,sayat-nova_1963_suren_safaryan.JPG,Suren Safaryan,Sayat Nova,1963,,data/datasets/armenian/images/sayat-nova_1963_suren_safaryan.JPG
136,armenian_local,"peace,spring_1960_nikoghayos_kotanjyan.JPG",Nikoghayos Kotanjyan,"Peace, spring",1960,,"data/datasets/armenian/images/peace,spring_1960_nikoghayos_kotanjyan.JPG"
137,armenian_local,adolescence_1967_sargis_muradyan.JPG,Sargis Muradyan,Adolescence,1967,,data/datasets/armenian/images/adolescence_1967_sargis_muradyan.JPG
138,armenian_local,labour_and_love_mkrtich_kamalyan.JPG,Mkrtich Kamalyan,Labour and love,,,data/datasets/armenian/images/labour_and_love_mkrtich_kamalyan.JPG
139,armenian_local,"on_the_angels_bridge_from_the_series""italian_impressions""1965-1966_grigor_khanjyan.JPG",Grigor Khanjyan,"On the angels bridge from the series ""Italian impressions""",1965-1966,,"data/datasets/armenian/images/on_the_angels_bridge_from_the_series""italian_impressions""1965-1966_grigor_khanjyan.JPG"
140,armenian_local,mother_1917_hovakim_hovhannissian.JPG,Hovakim Hovhannissian,Mother ,1917,,data/datasets/armenian/images/mother_1917_hovakim_hovhannissian.JPG
141,armenian_local,"our_balcony,tiflis_yeghishe_tadevossian.JPG",Yeghishe Tadevossian,"Our balcony, Tiflis",,,"data/datasets/armenian/images/our_balcony,tiflis_yeghishe_tadevossian.JPG"
142,armenian_local,after_the_ball_1912_vahram_gayfedjian.JPG,Vahram Gayfedjian,After the ball ,1912,,data/datasets/armenian/images/after_the_ball_1912_vahram_gayfedjian.JPG
